BTC;bitcoin
ETH;ethereum
USDT;tether
XRP;xrp
BNB;binance-coin
USDC;usd-coin
SOL;solana
TRX;tron
DOGE;dogecoin
ADA;cardano
STETH;steth
WBTC;wrapped-bitcoin
LEO;unus-sed-leo
TON;toncoin
LINK;chainlink
XLM;stellar
AVAX;avalanche
SHIB;shiba-inu
SUI;sui
OM;mantra-dao
HBAR;hedera-hashgraph
DAI;multi-collateral-dai
BCH;bitcoin-cash
DOT;polkadot
LTC;litecoin
USDE;ethena-usde
BTCB;bitcoin-bep2
BGB;bitget-token-new
WETH;weth
PI;pi
XMR;monero
HYPE;hyperliquid
UNI;uniswap
OKB;okb
PEPE;pepe
APT;aptos
NEAR;near-protocol
MNT;mantle
ONDO;ondo-finance
ICP;internet-computer
ETC;ethereum-classic
CRO;crypto-com-coin
FDUSD;first-digital-usd
AAVE;aave
GT;gatetoken
POL;polygon-ecosystem-token
VET;vechain
ATOM;cosmos
TAO;bittensor
KAS;kaspa
ENA;ethena
TRUMP;official-trump
FIL;filecoin
RENDER;render
TIA;celestia
ALGO;algorand
DEXE;dexe
ARB;arbitrum
S;fantom
EOS;eos
IP;story-protocol
KCS;kucoin-token
OP;optimism-ethereum
XDC;xinfin-network
MKR;maker
FET;fetch
JUP;jupiter
WBNB;wbnb
STX;stacks
WLD;worldcoin-org
USD0;usual-usd
FORM;binaryx-new
BONK;bonk1
MOVE;movement
QNT;quant
XAUT;tether-gold
PYUSD;paypal-usd
GRT;the-graph
FLR;flare
SEI;sei
INJ;injective-protocol
THETA;theta
IMX;immutable-x
PAXG;pax-gold
LDO;lido-dao
NEXO;nexo
XTZ;tezos
SAND;the-sandbox
CRV;curve-dao-token
KAIA;kaia
GALA;gala
BTTOLD;bittorrent
IOTA;iota
BSV;bitcoin-sv
FLOW;flow
TUSD;trueusd
JTO;jito
ZEC;zcash
FLOKI;floki-inu
CAKE;pancakeswap
FARTCOIN;fartcoin
BERA;berachain
ENS;ethereum-name-service
KAVA;kava
JASMY;jasmy
GRASS;grass
PENDLE;pendle
RAY;raydium
HNT;helium
PYTH;pyth-network
MANA;decentraland
TEL;telcoin
AXS;axie-infinity
CHZ;chiliz
RSR;reserve-rights
RUNE;thorchain
COMP;compound
FRAX;frax
CFX;conflux-network
NEO;neo
XEC;ecash
WIF;dogwifhat
AR;arweave
EGLD;elrond-egld
TWT;trust-wallet-token
VIRTUAL;virtual-protocol
JST;just
FTT;ftx-token
MELANIA;melania-meme
XCN;onyxcoin
AMP;amp
PENGU;pudgy-penguins
GNO;gnosis-gno
MX;mx-token
MINA;mina
AERO;aerodrome-finance
DASH;dash
AKT;akash-network
NXM;nxm
USDD;usdd
1INCH;1inch
AIOZ;aioz-network
WXT;wirex-token
GLM;golem-network-tokens
WEMIX;wemix
KSM;kusama
TFUEL;theta-fuel
ZIL;zilliqa
ZK;zksync
NOT;notcoin
QTUM;qtum
ZRX;0x
DCR;decred
BAT;basic-attention-token
CKB;nervos-network
ELF;aelf
CVX;convex-finance
BORG;swissborg
IOTX;iotex
VTHO;vethor-token
DGB;digibyte
TRAC;origintrail
HOT;holo
CELO;celo
ROSE;oasis-network
SUN;sun-token
LPT;livepeer
RVN;ravencoin
ANKR;ankr
FXS;frax-share
SC;siacoin
YFI;yearn-finance
SNX;synthetix-network-token
ONE;harmony
SUSHI;sushiswap
GAS;gas
STORM;storm
XEM;nem
ENJ;enjin-coin
ZEN;horizen
WOO;wootrade
LRC;loopring
GMX;goldmaxcoin
LCX;lcx
PAI;project-pai
KDA;kadena
WAVES;waves
ONT;ontology
CSPR;casper
SKL;skale-network
XYO;xyo
MASK;mask-network
XNO;nano
DAG;constellation
DYDX;dydx
PROM;prometeus
HIVE;hive-blockchain
COTI;coti
BAND;band-protocol
STORJ;storj
FUN;funtoken
XPR;proton
SUPER;superfarm
METIS;metisdao
CVC;civic
UMA;uma
SWFTC;swftcoin
ICX;icon
USDP;paxos-standard
AUDIO;audius
SNT;status
WAXP;wax
REQ;request
SOLO;sologenic
BAN;banano
VELO;velo
RLC;rlc
POWR;power-ledger
RPL;rocket-pool
ZANO;zano
LSK;lisk
IQ;everipedia
MVL;mvl
IOST;iostoken
ORBS;orbs
DKA;dkargo
BAL;balancer
YGG;yield-guild-games
PHA;phala-network
CHR;chromia
ONG;ontology-gas
STPT;standard-tokenization-protocol
API3;api3
MLK;milk-alliance
POND;marlin
ILV;illuvium
ELON;dogelon
XVG;verge
PUNDIX;pundix-new
RARE;superrare
CBK;cobak-token
DENT;dent
CELR;celer-network
KNC;kyber-network
VVV;venice-ai
TRB;tellor
STEEM;steem
ARK;ark
OXT;orchid
JOE;joe
MTL;metal
CFG;centrifuge
AERGO;aergo
IMT;moneytoken
AGLD;adventure-gold
DF;dforce
XYM;symbol
NMR;numeraire
SCRT;secret
OSMO;osmosis
WILD;wilder-world
BIO;biocoin
BEL;bella-protocol
SCR;scroll
LAYER;unilayer
ABT;arcblock
MOVR;moonriver
WIN;wink
CTSI;cartesi
PYR;vulcan-forged-pyr
ARDR;ardor
